,count
cell_502,1.0
cell_503,2.0
cell_504,0.0
cell_505,4.0
cell_506,6.0
cell_507,5.0
cell_508,4.0
cell_509,0.0
cell_510,0.0
cell_511,0.0
cell_512,0.0
cell_513,1.0
cell_514,3.0
cell_515,2.0
cell_516,0.0
cell_517,1.0
cell_518,0.0
cell_519,2.0
cell_520,0.0
cell_521,1.0
cell_522,4.0
cell_523,1.0
cell_524,0.0
cell_525,0.0
cell_526,1.0
cell_527,4.0
cell_528,0.0
cell_529,0.0
cell_530,0.0
cell_531,3.0
cell_532,1.0
cell_533,6.0
cell_534,0.0
cell_535,0.0
cell_536,1.0
cell_537,0.0
cell_538,0.0
cell_539,1.0
cell_540,0.0
cell_541,0.0
cell_542,5.0
cell_543,4.0
cell_544,2.0
cell_545,0.0
cell_546,0.0
cell_547,0.0
cell_548,0.0
cell_549,0.0
cell_550,4.0
cell_551,0.0
cell_552,0.0
cell_553,3.0
cell_554,0.0
cell_555,0.0
cell_556,1.0
cell_557,0.0
cell_558,0.0
cell_559,4.0
cell_560,0.0
cell_561,0.0
cell_562,0.0
cell_563,0.0
cell_564,4.0
cell_565,0.0
cell_566,0.0
cell_567,0.0
cell_568,5.0
cell_569,0.0
cell_570,0.0
cell_571,0.0
cell_572,0.0
cell_573,2.0
cell_574,1.0
cell_575,0.0
cell_576,1.0
cell_577,3.0
cell_578,5.0
cell_579,1.0
cell_580,4.0
cell_581,0.0
cell_582,6.0
cell_583,2.0
cell_584,0.0
cell_585,4.0
cell_586,0.0
cell_587,4.0
cell_588,7.0
cell_589,1.0
cell_590,4.0
cell_591,0.0
cell_592,0.0
cell_593,0.0
cell_594,0.0
cell_595,0.0
cell_596,4.0
cell_597,1.0
cell_598,2.0
cell_599,0.0
cell_600,2.0
cell_601,2.0
cell_602,0.0
cell_603,8.0
cell_604,0.0
cell_605,0.0
cell_606,5.0
cell_607,0.0
cell_608,0.0
cell_609,0.0
cell_610,0.0
cell_611,1.0
cell_612,0.0
cell_613,0.0
cell_614,0.0
cell_615,0.0
cell_616,0.0
cell_617,0.0
cell_618,1.0
cell_619,5.0
cell_620,0.0
cell_621,0.0
cell_622,0.0
cell_623,0.0
cell_624,0.0
cell_625,0.0
cell_626,4.0
cell_627,0.0
cell_628,0.0
cell_629,7.0
cell_630,1.0
cell_631,2.0
cell_632,0.0
cell_633,0.0
cell_634,1.0
cell_635,0.0
cell_636,2.0
cell_637,0.0
cell_638,0.0
cell_639,0.0
cell_640,0.0
cell_641,5.0
cell_642,1.0
cell_643,3.0
cell_644,1.0
cell_645,1.0
cell_646,0.0
cell_647,2.0
cell_648,1.0
cell_649,0.0
cell_650,0.0
cell_651,0.0
cell_652,0.0
cell_653,0.0
cell_654,2.0
cell_655,1.0
cell_656,0.0
cell_657,3.0
cell_658,1.0
cell_659,0.0
cell_660,0.0
cell_661,0.0
cell_662,3.0
cell_663,2.0
cell_664,5.0
cell_665,3.0
cell_666,0.0
cell_667,5.0
cell_668,0.0
cell_669,0.0
cell_670,0.0
cell_671,1.0
cell_672,0.0
cell_673,0.0
cell_674,5.0
cell_675,4.0
cell_676,0.0
cell_677,5.0
cell_678,0.0
cell_679,0.0
cell_680,0.0
cell_681,2.0
cell_682,0.0
cell_683,0.0
cell_684,1.0
cell_685,2.0
cell_686,1.0
cell_687,0.0
cell_688,0.0
cell_689,7.0
cell_690,10.0
cell_691,3.0
cell_692,0.0
cell_693,0.0
cell_694,0.0
cell_695,0.0
cell_696,0.0
cell_697,0.0
cell_698,0.0
cell_699,0.0
cell_700,2.0
cell_701,4.0
cell_702,0.0
cell_703,0.0
cell_704,0.0
cell_705,3.0
cell_706,1.0
cell_707,1.0
cell_708,3.0
cell_709,0.0
cell_710,5.0
cell_711,3.0
cell_712,0.0
cell_713,8.0
cell_714,3.0
cell_715,0.0
cell_716,0.0
cell_717,0.0
cell_718,0.0
cell_719,3.0
cell_720,0.0
cell_721,2.0
cell_722,1.0
cell_723,4.0
cell_724,0.0
cell_725,0.0
cell_726,0.0
cell_727,0.0
cell_728,1.0
cell_729,0.0
cell_730,1.0
cell_731,0.0
cell_732,0.0
cell_733,0.0
cell_734,0.0
cell_735,1.0
cell_736,0.0
cell_737,0.0
cell_738,1.0
cell_739,0.0
cell_740,0.0
cell_741,0.0
cell_742,0.0
cell_743,0.0
cell_744,0.0
cell_745,0.0
cell_746,0.0
cell_747,3.0
cell_748,0.0
cell_749,0.0
cell_750,0.0
cell_751,5.0
cell_752,0.0
cell_753,0.0
cell_754,0.0
cell_755,3.0
cell_756,1.0
cell_757,0.0
cell_758,0.0
cell_759,0.0
cell_760,0.0
cell_761,0.0
cell_762,0.0
cell_763,0.0
cell_764,2.0
cell_765,6.0
cell_766,0.0
cell_767,0.0
cell_768,0.0
cell_769,0.0
cell_770,0.0
cell_771,2.0
cell_772,0.0
cell_773,0.0
cell_774,1.0
cell_775,2.0
