	sc_id	spot	exp_cor_before	interface_cor_before	mix_cor_before	exp_cor_after	interface_cor_after	mix_cor_after	celltype	UMAP1	UMAP2	st_x	st_y	spex_UMAP1	spex_UMAP2	indice	core1	core2	centering_scale_factor	adj_spex_UMAP1	adj_spex_UMAP2
63	cell_152	spot_6	0.9608430479470317	0.8091496964746492	0.9456737127997934	0.9919677655686385	0.9482718809904082	0.9875981771108154	ExcitatoryL6	-18.72264	-7.557806	375	4875	27.213936	17.786715	145	27.288211822509766	17.733360290527344	1800.0780213293936	241.29745806387092	4971.041836720748
64	cell_9	spot_6	0.9608430479470317	0.8091496964746492	0.9456737127997934	0.9919677655686385	0.9482718809904082	0.9875981771108154	ExcitatoryL6	-18.683563	-7.611537	375	4875	27.130947	17.761267	145	27.288211822509766	17.733360290527344	1800.0780213293936	91.91125294751902	4925.233729419842
65	cell_221	spot_6	0.9608430479470317	0.8091496964746492	0.9456737127997934	0.9919677655686385	0.9482718809904082	0.9875981771108154	ExcitatoryL6	-18.774635	-7.6416507	375	4875	27.340096	17.713324	145	27.288211822509766	17.733360290527344	1800.0780213293936	468.3947035526317	4838.932381412382
66	cell_144	spot_6	0.9608430479470317	0.8091496964746492	0.9456737127997934	0.9919677655686385	0.9482718809904082	0.9875981771108154	ExcitatoryL6	-18.566595	-7.5510106	375	4875	27.17273	17.771444	145	27.288211822509766	17.733360290527344	1800.0780213293936	167.12279533498867	4943.554225639122
67	cell_633	spot_6	0.9608430479470317	0.8091496964746492	0.9456737127997934	0.9919677655686385	0.9482718809904082	0.9875981771108154	ExcitatoryL4	-18.719383	-7.588348	375	4875	27.345375	17.69537	145	27.288211822509766	17.733360290527344	1800.0780213293936	477.8982892975653	4806.614009802172
68	cell_758	spot_6	0.9608430479470317	0.8091496964746492	0.9456737127997934	0.9919677655686385	0.9482718809904082	0.9875981771108154	Olig	-18.733446	-7.5743	375	4875	27.359127	17.719414	145	27.288211822509766	17.733360290527344	1800.0780213293936	502.65293280225154	4849.895152107314
69	cell_271	spot_6	0.9608430479470317	0.8091496964746492	0.9456737127997934	0.9919677655686385	0.9482718809904082	0.9875981771108154	Olig	-18.959625	-7.6915097	375	4875	27.436844	17.816414	145	27.288211822509766	17.733360290527344	0.0	375.0	4875.0
70	cell_35	spot_6	0.9608430479470317	0.8091496964746492	0.9456737127997934	0.9919677655686385	0.9482718809904082	0.9875981771108154	ExcitatoryL5	-18.703884	-7.6388326	375	4875	27.346605	17.665087	145	27.288211822509766	17.733360290527344	1800.0780213293936	480.1128170452106	4752.102293446568
71	cell_770	spot_6	0.9608430479470317	0.8091496964746492	0.9456737127997934	0.9919677655686385	0.9482718809904082	0.9875981771108154	ExcitatoryL5	-18.621756	-7.7149253	375	4875	27.199383	17.76042	145	27.288211822509766	17.733360290527344	1800.0780213293936	215.10079649095056	4923.709310319137
72	cell_1138	spot_7	0.9699254752819131	0.6227682483960381	0.9352097525933256	0.9809580197689945	0.9387551333150568	0.9767377311236007	ExcitatoryL6	-19.02305	-7.494875	375	5625	27.59196	17.558712	156	27.688507080078125	17.587684631347656	1593.2881876726879	221.17412284161355	5578.83825765467
73	cell_487	spot_7	0.9699254752819131	0.6227682483960381	0.9352097525933256	0.9809580197689945	0.9387551333150568	0.9767377311236007	ExcitatoryL6	-19.155573	-7.534266	375	5625	27.696459	17.589855	156	27.688507080078125	17.587684631347656	0.0	375.0	5625.0
74	cell_1312	spot_7	0.9699254752819131	0.6227682483960381	0.9352097525933256	0.9809580197689945	0.9387551333150568	0.9767377311236007	ExcitatoryL4	-19.01866	-7.440054	375	5625	27.658695	17.533869	156	27.688507080078125	17.587684631347656	1593.2881876726879	327.5011169942396	5539.2558551498705
75	cell_1400	spot_7	0.9699254752819131	0.6227682483960381	0.9352097525933256	0.9809580197689945	0.9387551333150568	0.9767377311236007	Endo	-19.147327	-7.613385	375	5625	27.735518	17.726936	156	27.688507080078125	17.587684631347656	0.0	375.0	5625.0
76	cell_205	spot_7	0.9699254752819131	0.6227682483960381	0.9352097525933256	0.9809580197689945	0.9387551333150568	0.9767377311236007	Endo	-19.07106	-7.3766403	375	5625	27.675259	17.511694	156	27.688507080078125	17.587684631347656	1593.2881876726879	353.8914113014708	5503.9249521540305
77	cell_972	spot_7	0.9699254752819131	0.6227682483960381	0.9352097525933256	0.9809580197689945	0.9387551333150568	0.9767377311236007	Endo	-19.059395	-7.5567684	375	5625	27.60444	17.730143	156	27.688507080078125	17.587684631347656	1593.2881876726879	241.05801225342995	5851.976588152094
78	cell_1416	spot_7	0.9699254752819131	0.6227682483960381	0.9352097525933256	0.9809580197689945	0.9387551333150568	0.9767377311236007	Endo	-19.097437	-7.445223	375	5625	27.7157	17.527672	156	27.688507080078125	17.587684631347656	1593.2881876726879	418.32639635400676	5529.382286955007
79	cell_1208	spot_7	0.9699254752819131	0.6227682483960381	0.9352097525933256	0.9809580197689945	0.9387551333150568	0.9767377311236007	Olig	-19.091442	-7.357189	375	5625	27.847572	17.41421	156	27.688507080078125	17.587684631347656	1593.2881876726879	628.4367784483937	5348.603908620798
80	cell_194	spot_7	0.9699254752819131	0.6227682483960381	0.9352097525933256	0.9809580197689945	0.9387551333150568	0.9767377311236007	Olig	-19.06316	-7.4540095	375	5625	27.683275	17.534174	156	27.688507080078125	17.587684631347656	1593.2881876726879	366.66414356463207	5539.742088117299
81	cell_1093	spot_7	0.9699254752819131	0.6227682483960381	0.9352097525933256	0.9809580197689945	0.9387551333150568	0.9767377311236007	ExcitatoryL2and3	-19.091635	-7.4789495	375	5625	27.703943	17.661062	156	27.688507080078125	17.587684631347656	0.0	375.0	5625.0
82	cell_911	spot_7	0.9699254752819131	0.6227682483960381	0.9352097525933256	0.9809580197689945	0.9387551333150568	0.9767377311236007	ExcitatoryL5	-19.028976	-7.490724	375	5625	27.62358	17.635836	156	27.688507080078125	17.587684631347656	1593.2881876726879	271.5539361793932	5701.718445392222
83	cell_704	spot_7	0.9699254752819131	0.6227682483960381	0.9352097525933256	0.9809580197689945	0.9387551333150568	0.9767377311236007	ExcitatoryL5	-19.146355	-7.5370607	375	5625	27.725677	17.628057	156	27.688507080078125	17.587684631347656	0.0	375.0	5625.0
84	cell_1199	spot_8	0.946144908734237	0.820095549245365	0.9335399727853498	0.9862109125581054	0.8664295258438531	0.9742327738866803	ExcitatoryL6	-19.474884	-7.4082336	375	6375	28.083433	17.459097	167	28.038633346557617	17.448795318603516	0.0	375.0	6375.0
85	cell_1057	spot_8	0.946144908734237	0.820095549245365	0.9335399727853498	0.9862109125581054	0.8664295258438531	0.9742327738866803	ExcitatoryL6	-19.354269	-7.40885	375	6375	27.843636	17.49028	167	28.038633346557617	17.448795318603516	1359.7245510267885	109.85672097354177	6431.407945604005
86	cell_62	spot_8	0.946144908734237	0.820095549245365	0.9335399727853498	0.9862109125581054	0.8664295258438531	0.9742327738866803	ExcitatoryL6	-19.424599	-7.4108343	375	6375	28.040648	17.445602	167	28.038633346557617	17.448795318603516	1359.7245510267885	377.7387030141531	6370.658533290064
87	cell_112	spot_8	0.946144908734237	0.820095549245365	0.9335399727853498	0.9862109125581054	0.8664295258438531	0.9742327738866803	ExcitatoryL6	-19.787989	-7.2992654	375	6375	28.312805	17.418953	167	28.038633346557617	17.448795318603516	1359.7245510267885	747.7981673952975	6334.422587727804
88	cell_155	spot_8	0.946144908734237	0.820095549245365	0.9335399727853498	0.9862109125581054	0.8664295258438531	0.9742327738866803	Olig	-19.5037	-7.313967	375	6375	28.120264	17.393888	167	28.038633346557617	17.448795318603516	1359.7245510267885	485.9952761361017	6300.341814707931
89	cell_414	spot_8	0.946144908734237	0.820095549245365	0.9335399727853498	0.9862109125581054	0.8664295258438531	0.9742327738866803	ExcitatoryL5	-19.465282	-7.3773537	375	6375	27.873343	17.497452	167	28.038633346557617	17.448795318603516	1359.7245510267885	150.2499969635363	6441.159388154399
90	cell_281	spot_8	0.946144908734237	0.820095549245365	0.9335399727853498	0.9862109125581054	0.8664295258438531	0.9742327738866803	ExcitatoryL5	-19.45852	-7.3933334	375	6375	28.091333	17.436066	167	28.038633346557617	17.448795318603516	1359.7245510267885	446.657541932812	6357.691189473051
91	cell_169	spot_8	0.946144908734237	0.820095549245365	0.9335399727853498	0.9862109125581054	0.8664295258438531	0.9742327738866803	ExcitatoryL5	-19.332167	-7.409593	375	6375	27.943602	17.449032	167	28.038633346557617	17.448795318603516	1359.7245510267885	245.78301233223206	6375.321590126662
92	cell_310	spot_9	0.9598253590112278	0.666798690254434	0.9305226921355485	0.9781775378499105	0.9197772845237981	0.9723375125172993	ExcitatoryL6	-20.106476	-7.144211	375	7125	28.799023	17.202335	178	29.289752960205078	17.01585578918457	714.3299779271632	24.4566458873515	7258.207946037218
93	cell_198	spot_9	0.9598253590112278	0.666798690254434	0.9305226921355485	0.9781775378499105	0.9197772845237981	0.9723375125172993	Endo	-20.774805	-6.967554	375	7125	29.37108	16.963392	178	29.289752960205078	17.01585578918457	714.3299779271632	433.09462724463714	7087.523726705809
94	cell_323	spot_9	0.9598253590112278	0.666798690254434	0.9305226921355485	0.9781775378499105	0.9197772845237981	0.9723375125172993	Olig	-21.262417	-6.942639	375	7125	29.761904	16.901024	178	29.289752960205078	17.01585578918457	714.3299779271632	712.2714724083401	7042.972113950529
95	cell_935	spot_9	0.9598253590112278	0.666798690254434	0.9305226921355485	0.9781775378499105	0.9197772845237981	0.9723375125172993	Olig	-21.321661	-6.9676504	375	7125	29.771288	16.943176	178	29.289752960205078	17.01585578918457	714.3299779271632	718.9748558376797	7073.082840330287
