,sc_id,spot,exp_cor_before,interface_cor_before,mix_cor_before,exp_cor_after,interface_cor_after,mix_cor_after,celltype
965,cell_354,spot_100,0.9804279860805123,0.9073421592792775,0.9731194034003888,0.9886042954549628,0.9489568413158369,0.9293759785342083,Astro
966,cell_1438,spot_101,0.9819564664176874,0.7840014351092778,0.9621609632868464,0.9713353690511376,0.80921621369141,0.9015164932127917,ExcitatoryL6
967,cell_713,spot_101,0.9819564664176874,0.7840014351092778,0.9621609632868464,0.9713353690511376,0.80921621369141,0.9015164932127917,ExcitatoryL6
968,cell_14,spot_101,0.9819564664176874,0.7840014351092778,0.9621609632868464,0.9713353690511376,0.80921621369141,0.9015164932127917,ExcitatoryL6
969,cell_885,spot_101,0.9819564664176874,0.7840014351092778,0.9621609632868464,0.9713353690511376,0.80921621369141,0.9015164932127917,ExcitatoryL6
970,cell_1233,spot_101,0.9819564664176874,0.7840014351092778,0.9621609632868464,0.9713353690511376,0.80921621369141,0.9015164932127917,Pvalb
971,cell_1195,spot_101,0.9819564664176874,0.7840014351092778,0.9621609632868464,0.9713353690511376,0.80921621369141,0.9015164932127917,Pvalb
972,cell_0,spot_101,0.9819564664176874,0.7840014351092778,0.9621609632868464,0.9713353690511376,0.80921621369141,0.9015164932127917,ExcitatoryL4
973,cell_1244,spot_101,0.9819564664176874,0.7840014351092778,0.9621609632868464,0.9713353690511376,0.80921621369141,0.9015164932127917,Olig
974,cell_1223,spot_101,0.9819564664176874,0.7840014351092778,0.9621609632868464,0.9713353690511376,0.80921621369141,0.9015164932127917,ExcitatoryL2and3
975,cell_1185,spot_101,0.9819564664176874,0.7840014351092778,0.9621609632868464,0.9713353690511376,0.80921621369141,0.9015164932127917,ExcitatoryL2and3
976,cell_113,spot_102,0.9618433811775122,0.638049233683152,0.9294639664280763,0.9632516410188353,0.7707905108708947,0.8910225689125336,ExcitatoryL6
977,cell_1287,spot_102,0.9618433811775122,0.638049233683152,0.9294639664280763,0.9632516410188353,0.7707905108708947,0.8910225689125336,ExcitatoryL6
978,cell_1448,spot_102,0.9618433811775122,0.638049233683152,0.9294639664280763,0.9632516410188353,0.7707905108708947,0.8910225689125336,Npy
979,cell_84,spot_102,0.9618433811775122,0.638049233683152,0.9294639664280763,0.9632516410188353,0.7707905108708947,0.8910225689125336,Olig
980,cell_694,spot_102,0.9618433811775122,0.638049233683152,0.9294639664280763,0.9632516410188353,0.7707905108708947,0.8910225689125336,Olig
981,cell_1311,spot_102,0.9618433811775122,0.638049233683152,0.9294639664280763,0.9632516410188353,0.7707905108708947,0.8910225689125336,Olig
982,cell_1180,spot_102,0.9618433811775122,0.638049233683152,0.9294639664280763,0.9632516410188353,0.7707905108708947,0.8910225689125336,ExcitatoryL2and3
983,cell_162,spot_102,0.9618433811775122,0.638049233683152,0.9294639664280763,0.9632516410188353,0.7707905108708947,0.8910225689125336,Sst
984,cell_115,spot_102,0.9618433811775122,0.638049233683152,0.9294639664280763,0.9632516410188353,0.7707905108708947,0.8910225689125336,Sst
985,cell_227,spot_102,0.9618433811775122,0.638049233683152,0.9294639664280763,0.9632516410188353,0.7707905108708947,0.8910225689125336,Sst
986,cell_1111,spot_102,0.9618433811775122,0.638049233683152,0.9294639664280763,0.9632516410188353,0.7707905108708947,0.8910225689125336,ExcitatoryL5
987,cell_1282,spot_102,0.9618433811775122,0.638049233683152,0.9294639664280763,0.9632516410188353,0.7707905108708947,0.8910225689125336,Astro
988,cell_96,spot_102,0.9618433811775122,0.638049233683152,0.9294639664280763,0.9632516410188353,0.7707905108708947,0.8910225689125336,Astro
989,cell_1290,spot_103,0.9786438650016626,0.7985108573363279,0.960630564235129,0.9910756560827213,0.8590140351564024,0.922985896532291,ExcitatoryL6
990,cell_1209,spot_103,0.9786438650016626,0.7985108573363279,0.960630564235129,0.9910756560827213,0.8590140351564024,0.922985896532291,ExcitatoryL6
991,cell_1008,spot_103,0.9786438650016626,0.7985108573363279,0.960630564235129,0.9910756560827213,0.8590140351564024,0.922985896532291,Pvalb
992,cell_908,spot_103,0.9786438650016626,0.7985108573363279,0.960630564235129,0.9910756560827213,0.8590140351564024,0.922985896532291,Pvalb
993,cell_641,spot_103,0.9786438650016626,0.7985108573363279,0.960630564235129,0.9910756560827213,0.8590140351564024,0.922985896532291,Other
994,cell_802,spot_103,0.9786438650016626,0.7985108573363279,0.960630564235129,0.9910756560827213,0.8590140351564024,0.922985896532291,Other
995,cell_814,spot_103,0.9786438650016626,0.7985108573363279,0.960630564235129,0.9910756560827213,0.8590140351564024,0.922985896532291,ExcitatoryL5
996,cell_13,spot_103,0.9786438650016626,0.7985108573363279,0.960630564235129,0.9910756560827213,0.8590140351564024,0.922985896532291,ExcitatoryL5
997,cell_724,spot_103,0.9786438650016626,0.7985108573363279,0.960630564235129,0.9910756560827213,0.8590140351564024,0.922985896532291,ExcitatoryL5
998,cell_911,spot_103,0.9786438650016626,0.7985108573363279,0.960630564235129,0.9910756560827213,0.8590140351564024,0.922985896532291,ExcitatoryL5
999,cell_794,spot_103,0.9786438650016626,0.7985108573363279,0.960630564235129,0.9910756560827213,0.8590140351564024,0.922985896532291,ExcitatoryL5
1000,cell_1350,spot_103,0.9786438650016626,0.7985108573363279,0.960630564235129,0.9910756560827213,0.8590140351564024,0.922985896532291,Astro
