,sc_id,spot,corr,celltype
78,cell_405,spot_7,0.9699254796798499,Endo
79,cell_58,spot_7,0.9699254796798499,Endo
80,cell_1436,spot_7,0.9699254796798499,Endo
81,cell_494,spot_7,0.9699254796798499,ExcitatoryL4
82,cell_1462,spot_7,0.9699254796798499,ExcitatoryL6
83,cell_1454,spot_7,0.9699254796798499,ExcitatoryL6
84,cell_1449,spot_8,0.9461449115557472,ExcitatoryL5
85,cell_1445,spot_8,0.9461449115557472,ExcitatoryL5
86,cell_582,spot_8,0.9461449115557472,ExcitatoryL5
87,cell_1489,spot_8,0.9461449115557472,Olig
88,cell_1462,spot_8,0.9461449115557472,ExcitatoryL6
89,cell_1454,spot_8,0.9461449115557472,ExcitatoryL6
90,cell_1461,spot_8,0.9461449115557472,ExcitatoryL6
91,cell_713,spot_8,0.9461449115557472,ExcitatoryL6
92,cell_1449,spot_9,0.9598253635115384,ExcitatoryL5
93,cell_1445,spot_9,0.9598253635115384,ExcitatoryL5
94,cell_778,spot_9,0.9598253635115384,ExcitatoryL5
95,cell_1373,spot_9,0.9598253635115384,ExcitatoryL5
96,cell_46,spot_9,0.9598253635115384,ExcitatoryL5
97,cell_1068,spot_9,0.9598253635115384,Olig
98,cell_1433,spot_9,0.9598253635115384,Olig
99,cell_1489,spot_9,0.9598253635115384,Olig
100,cell_1481,spot_9,0.9598253635115384,Endo
101,cell_1462,spot_9,0.9598253635115384,ExcitatoryL6
102,cell_1449,spot_10,0.96695340544214,ExcitatoryL5
103,cell_1445,spot_10,0.96695340544214,ExcitatoryL5
104,cell_1481,spot_10,0.96695340544214,Endo
105,cell_405,spot_10,0.96695340544214,Endo
106,cell_1428,spot_10,0.96695340544214,Endo
107,cell_993,spot_10,0.96695340544214,ExcitatoryL4
108,cell_494,spot_10,0.96695340544214,ExcitatoryL4
109,cell_348,spot_10,0.96695340544214,ExcitatoryL4
110,cell_1094,spot_10,0.96695340544214,ExcitatoryL4
111,cell_1028,spot_10,0.96695340544214,ExcitatoryL4
112,cell_674,spot_10,0.96695340544214,Pvalb
113,cell_1422,spot_10,0.96695340544214,Pvalb
114,cell_1485,spot_11,0.9605041133559,Sst
115,cell_1481,spot_11,0.9605041133559,Endo
116,cell_58,spot_11,0.9605041133559,Endo
117,cell_677,spot_11,0.9605041133559,ExcitatoryL4
118,cell_1460,spot_11,0.9605041133559,ExcitatoryL4
119,cell_542,spot_11,0.9605041133559,ExcitatoryL4
120,cell_339,spot_11,0.9605041133559,ExcitatoryL4
121,cell_1359,spot_11,0.9605041133559,ExcitatoryL4
122,cell_993,spot_11,0.9605041133559,ExcitatoryL4
123,cell_1262,spot_11,0.9605041133559,ExcitatoryL4
124,cell_1291,spot_11,0.9605041133559,ExcitatoryL4
125,cell_1470,spot_12,0.9752136390260159,ExcitatoryL2and3
126,cell_690,spot_12,0.9752136390260159,ExcitatoryL2and3
127,cell_1028,spot_12,0.9752136390260159,ExcitatoryL4
128,cell_494,spot_12,0.9752136390260159,ExcitatoryL4
129,cell_348,spot_12,0.9752136390260159,ExcitatoryL4
130,cell_677,spot_12,0.9752136390260159,ExcitatoryL4
131,cell_1094,spot_12,0.9752136390260159,ExcitatoryL4
132,cell_508,spot_12,0.9752136390260159,ExcitatoryL4
133,cell_542,spot_12,0.9752136390260159,ExcitatoryL4
134,cell_905,spot_12,0.9752136390260159,ExcitatoryL4
135,cell_1359,spot_12,0.9752136390260159,ExcitatoryL4
136,cell_339,spot_12,0.9752136390260159,ExcitatoryL4
137,cell_1470,spot_13,0.9666685111337868,ExcitatoryL2and3
138,cell_347,spot_13,0.9666685111337868,ExcitatoryL2and3
139,cell_1442,spot_13,0.9666685111337868,ExcitatoryL2and3
140,cell_690,spot_13,0.9666685111337868,ExcitatoryL2and3
141,cell_1005,spot_13,0.9666685111337868,ExcitatoryL2and3
142,cell_1481,spot_13,0.9666685111337868,Endo
143,cell_222,spot_13,0.9666685111337868,Endo
144,cell_175,spot_13,0.9666685111337868,ExcitatoryL4
145,cell_1149,spot_13,0.9666685111337868,ExcitatoryL4
146,cell_1460,spot_13,0.9666685111337868,ExcitatoryL4
147,cell_813,spot_13,0.9666685111337868,ExcitatoryL4
148,cell_1485,spot_14,0.9447866381240917,Sst
149,cell_123,spot_14,0.9447866381240917,Sst
150,cell_1470,spot_14,0.9447866381240917,ExcitatoryL2and3
151,cell_347,spot_14,0.9447866381240917,ExcitatoryL2and3
152,cell_1442,spot_14,0.9447866381240917,ExcitatoryL2and3
153,cell_1266,spot_14,0.9447866381240917,ExcitatoryL2and3
154,cell_690,spot_14,0.9447866381240917,ExcitatoryL2and3
155,cell_689,spot_14,0.9447866381240917,ExcitatoryL2and3
156,cell_1005,spot_14,0.9447866381240917,ExcitatoryL2and3
157,cell_1481,spot_14,0.9447866381240917,Endo
158,cell_413,spot_14,0.9447866381240917,Micro
159,cell_1470,spot_15,0.9561512651147893,ExcitatoryL2and3
160,cell_20,spot_15,0.9561512651147893,ExcitatoryL2and3
161,cell_347,spot_15,0.9561512651147893,ExcitatoryL2and3
162,cell_1508,spot_15,0.9561512651147893,ExcitatoryL2and3
163,cell_1266,spot_15,0.9561512651147893,ExcitatoryL2and3
164,cell_1442,spot_15,0.9561512651147893,ExcitatoryL2and3
165,cell_506,spot_15,0.9561512651147893,ExcitatoryL2and3
166,cell_1481,spot_15,0.9561512651147893,Endo
167,cell_441,spot_15,0.9561512651147893,Endo
168,cell_405,spot_15,0.9561512651147893,Endo
169,cell_1405,spot_16,0.9582646991418294,Astro
170,cell_829,spot_16,0.9582646991418294,Astro
171,cell_1155,spot_16,0.9582646991418294,ExcitatoryL2and3
172,cell_689,spot_16,0.9582646991418294,ExcitatoryL2and3
173,cell_690,spot_16,0.9582646991418294,ExcitatoryL2and3
174,cell_987,spot_16,0.9582646991418294,ExcitatoryL2and3
175,cell_1005,spot_16,0.9582646991418294,ExcitatoryL2and3
176,cell_433,spot_16,0.9582646991418294,Vip
177,cell_1380,spot_16,0.9582646991418294,Endo
178,cell_58,spot_16,0.9582646991418294,Endo
179,cell_1436,spot_16,0.9582646991418294,Endo
180,cell_20,spot_17,0.9726624982727952,ExcitatoryL2and3
181,cell_1470,spot_17,0.9726624982727952,ExcitatoryL2and3
182,cell_1155,spot_17,0.9726624982727952,ExcitatoryL2and3
183,cell_533,spot_17,0.9726624982727952,ExcitatoryL2and3
184,cell_389,spot_17,0.9726624982727952,ExcitatoryL2and3
185,cell_1266,spot_17,0.9726624982727952,ExcitatoryL2and3
186,cell_1446,spot_17,0.9726624982727952,Vip
187,cell_433,spot_17,0.9726624982727952,Vip
188,cell_222,spot_17,0.9726624982727952,Endo
189,cell_710,spot_17,0.9726624982727952,Endo
190,cell_587,spot_18,0.9512195585131283,Other
191,cell_409,spot_18,0.9512195585131283,Other
192,cell_37,spot_18,0.9512195585131283,Other
193,cell_1392,spot_19,0.8781554688937988,Astro
194,cell_1390,spot_19,0.8781554688937988,Astro
195,cell_409,spot_19,0.8781554688937988,Other
196,cell_587,spot_19,0.8781554688937988,Other
197,cell_1446,spot_19,0.8781554688937988,Vip
198,cell_433,spot_19,0.8781554688937988,Vip
199,cell_1432,spot_20,0.9297474740688415,Astro
200,cell_629,spot_20,0.9297474740688415,Astro
201,cell_1392,spot_20,0.9297474740688415,Astro
202,cell_829,spot_20,0.9297474740688415,Astro
203,cell_1485,spot_20,0.9297474740688415,Sst
204,cell_675,spot_20,0.9297474740688415,Sst
205,cell_1336,spot_20,0.9297474740688415,Sst
206,cell_765,spot_20,0.9297474740688415,Olig
207,cell_74,spot_20,0.9297474740688415,Micro
208,cell_324,spot_21,0.8683480969505812,Astro
209,cell_1173,spot_21,0.8683480969505812,Olig
210,cell_303,spot_21,0.8683480969505812,Olig
211,cell_1076,spot_21,0.8683480969505812,Olig
212,cell_291,spot_21,0.8683480969505812,Olig
213,cell_495,spot_21,0.8683480969505812,Olig
214,cell_588,spot_21,0.8683480969505812,Olig
215,cell_459,spot_21,0.8683480969505812,Olig
