	adj_spex_UMAP1	adj_spex_UMAP2
78	4498.669523628375	2593.4391522397855
79	4125.0	2625.0
80	4013.706854619377	2597.283903278277
81	4125.0	2625.0
82	3779.110995139755	2661.9243891448755
83	4046.0164056584194	2722.1005354678346
84	4578.591771173213	4013.4041293927767
85	5139.788879927011	3892.3773226194917
86	5015.449817609619	3961.7720614374907
87	4875.0	4125.0
88	4944.155559024755	4052.494092477848
89	4776.00373997132	3918.9597941428656
90	4812.291673319311	4362.8919583998095
91	4782.266001724899	4081.56231234249
92	4634.071959967424	4270.048076605608
93	4875.0	4125.0
94	4875.0	4125.0
95	1875.0	9375.0
96	1875.0	9375.0
97	1875.0	9375.0
98	1875.0	9375.0
99	1875.0	9375.0
100	1549.8337658678752	9188.206209470625
101	1875.0	9375.0
102	1875.0	9375.0
103	1875.0	9375.0
104	1875.0	9375.0
105	2261.8565663428562	4208.908268331233
106	2386.6564479445924	4211.75529014838
107	2754.758590665258	4094.5687505299657
108	2875.1264330265803	3849.913089857678
109	2569.7923157216646	4097.839779114369
110	2526.059523246948	4198.31143778579
111	2625.0	4125.0
112	2701.9639055289263	3987.0963895743685
113	1069.8447661343057	11652.513743339054
114	869.6235560955283	11619.181122616828
115	1198.2953345029096	11579.699809599024
116	1028.1854406932453	11987.287097625956
117	1313.5003004071882	11594.23522395294
118	1146.3148496239853	11395.848188682137
119	933.12526674751	11500.451119608777
120	1125.0	11625.0
121	910.7916648536975	11621.145428438678
122	1351.9231767928309	11588.911068938376
123	1113.2008434631716	11558.158632905044
124	7180.934109770649	10114.632715444968
125	7146.334174719065	10103.12496073206
126	7206.489788046426	10066.390773609708
127	6809.213166980421	10327.246572508571
128	7141.511847019669	10087.263443203577
129	7180.309089030592	10104.354016354342
130	7114.8256692862105	10121.383546770245
131	7169.9886890095595	10093.37290029313
132	7175.393417782896	10107.230761614524
133	5421.311825621232	9376.77263100073
134	5531.680629186168	9302.150676831761
135	5884.035377931488	9345.023779914152
136	5590.84729500238	9423.034215186266
137	5760.018810653104	9281.908105324406
138	5812.082546638436	9049.999814241164
139	5539.930199130561	9516.299863371181
140	5625.0	9375.0
141	5552.010149366027	9516.59127447208
142	5616.238878436482	9503.9691176368
143	5517.994789469577	9421.398228087735
144	4144.3542407617815	10790.60865160201
145	4125.0	10875.0
146	3962.932077582984	10953.715472077345
147	3798.831321950798	10689.962183703881
148	4038.962632097089	10672.659536901707
149	4125.0	10875.0
150	4386.787585084617	10795.202343900912
151	3998.947256853055	10614.185825049222
152	4125.0	10875.0
153	3879.0217309157315	11024.862363754695
154	4125.0	10875.0
155	3912.609891720202	10900.95005734781
156	3993.2956961341374	10765.141552412662
157	1125.0	5625.0
158	1267.348582479078	5598.701064891539
159	1125.0	5625.0
160	1046.4059605074058	5637.293285486097
161	1373.2084223953352	5443.477985794894
162	1044.4493983551852	5712.361343870276
163	1125.0	5625.0
164	925.331392987352	5655.484052324981
165	1071.0530846461586	5330.082751004205
166	927.2303799975995	5800.773930418991
167	910.1762258752516	5586.542783186619
168	1064.4211425017163	14238.90320577009
169	868.9022314087058	13729.431930693305
170	1125.0	13875.0
171	1284.162297100686	13765.141985173994
172	1097.2702160093902	13927.385188108074
173	856.9156739219727	13645.513302663689
174	1491.4921357752373	13795.573843005563
175	1875.0	1125.0
176	1837.620061319885	976.0963388306989
177	1710.4192216085967	1100.3875481690307
178	1966.4925897794433	1022.1835891707991
179	2083.992743406753	1113.2927838973903
180	1557.4640170336888	1108.6416911924366
181	6947.771219154393	11092.961326555665
182	7235.872461506862	10753.904867797997
183	6923.391939724937	10830.928757547848
184	7109.174738920478	10717.516636961485
185	7499.882022306341	10865.594185228916
186	7043.9960953004675	11005.155718157193
187	7079.818457130281	10990.017991400937
188	7089.329928623649	10852.459899246183
189	7195.762858922255	10766.461730745114
190	1125.0	4125.0
191	1048.9655112860253	4191.92939329546
192	1225.6455528216802	4097.483795114267
193	1125.0	4125.0
194	1005.0486415979733	4246.9165019979055
195	986.9970045025101	4220.721997746242
196	807.9319455738631	4064.7466420240726
197	1237.9716381383287	3767.421464603449
198	1125.0	4125.0
199	1071.5246047488981	4118.499716050089
200	2625.0	13875.0
201	2464.5973135239215	13804.93642800272
202	2649.306803163415	13500.788590072436
203	2625.0	13875.0
204	2940.7889232993966	12309.03188276584
205	2810.1893235791345	12278.741835410914
206	2612.0360706842234	12321.569954791057
207	2540.6455628425697	12411.960152852496
208	2554.344941234781	12501.592113798582
209	2432.096460185024	12304.58737806515
210	2379.5259891053165	12155.2585681952
211	2441.1882831327757	12264.164187396313
212	2625.0	12375.0
213	2516.5966012729255	12323.124378082492
214	2625.0	12375.0
215	2625.0	12375.0
216	2496.512293413036	12322.27536086108
217	7323.528117441701	6806.862315050458
218	6859.117643043456	7224.312856711226
219	7024.204497681216	7290.428440570384
220	7247.526874032422	6915.941276235388
221	7032.817342982392	7076.602559796061
222	7125.0	7125.0
223	6926.007894999817	7219.658748379216
224	7125.0	7125.0
225	3468.0499461535674	6992.408419743365
226	3335.393951701466	7257.523525258816
227	3375.0	7125.0
228	3375.0	7125.0
229	3000.00828010484	7122.508010820608
230	3573.2324460540913	7099.592800814296
231	3375.0	7125.0
232	3411.7847065371056	6945.899130122868
233	3375.0	7125.0
234	3345.9867261150557	7047.8499978430145
235	375.0	8625.0
236	375.0	8625.0
237	688.0971353598636	8493.866796946748
238	10.861510090750357	8714.600000929751
239	629.9556020814182	8433.532127773424
240	43.73748598431513	8794.369066167455
241	375.0	8625.0
242	385.0778938516367	8614.289703697043
243	414.40009443799124	8515.835015322331
244	461.97508317801817	8530.156482325665
245	80.11931993024405	8747.332225058777
246	2466.1508202036684	152.59936910815347
